date,cash,equity,margin,market_value,pnl,unrealized_pnl,fees
2024-01-02,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-03,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-04,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-05,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-08,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-09,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-10,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-11,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-12,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-15,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-16,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-17,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-18,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-19,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-22,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-23,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-24,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-25,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-26,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-29,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-30,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-31,900944.74,999522.81,0.0,999522.81,-477.19,0.0,24.76
2024-02-01,900944.74,998574.94,0.0,998574.94,-1425.06,0.0,24.76
2024-02-02,900944.74,997153.14,0.0,997153.14,-2846.86,0.0,24.76
2024-02-05,900944.74,996679.21,0.0,996679.21,-3320.79,0.0,24.76
2024-02-06,900944.74,1001892.47,0.0,1001892.47,1892.47,0.0,24.76
2024-02-07,900944.74,1005683.94,0.0,1005683.94,5683.94,0.0,24.76
2024-02-08,599837.81,997718.35,0.0,997718.35,-2281.65,0.0,100.02
2024-02-19,304213.65,989724.78,0.0,989724.78,-10275.22,0.0,173.9
2024-02-20,303446.69,992337.98,0.0,992337.98,-7662.02,0.0,466.54
2024-02-21,107464.45,989891.55,0.0,989891.55,-10108.45,0.0,812.62
2024-02-22,211747.26,998703.56,0.0,998703.56,-1296.44,0.0,943.13
2024-02-23,208219.98,996723.15,0.0,996723.15,-3276.85,0.0,1088.09
2024-02-26,10757.94,989044.23,0.0,989044.23,-10955.77,0.0,1137.44
2024-02-27,108995.07,1003285.07,0.0,1003285.07,3285.07,0.0,1260.39
2024-02-28,11146.47,993756.07,0.0,993756.07,-6243.93,0.0,1436.05
2024-02-29,108399.54,1013375.24,0.0,1013375.24,13375.24,0.0,1557.76
2024-03-01,205805.19,1016954.53,0.0,1016954.53,16954.53,0.0,1679.67
2024-03-04,3993.07,1021036.26,0.0,1021036.26,21036.26,0.0,1730.11
2024-03-05,300997.41,1013768.01,0.0,1013768.01,13768.01,0.0,2253.49
2024-03-06,300997.41,1018009.38,0.0,1018009.38,18009.38,0.0,2253.49
