type,symbol,date,shares,limit_price,fill_price,fees
buy,sh.600008,2023-02-08,39419,2.54,2.52,24.83
buy,sh.600177,2023-02-08,19724,5.07,5.06,24.95
buy,sz.000598,2023-02-09,21136,4.73,4.71,24.89
buy,sh.601866,2023-02-10,42200,2.37,2.37,25.0
sell,sh.601866,2023-02-13,42200,,2.36,124.49
buy,sh.600901,2023-02-13,28116,3.56,3.52,24.74
buy,sz.002271,2023-02-14,3432,29.15,28.87,24.77
sell,sz.002271,2023-02-15,3432,,28.43,121.96
buy,sh.601665,2023-02-15,27432,3.65,3.64,24.96
buy,sh.601866,2023-02-15,42191,2.37,2.36,24.89
buy,sz.002958,2023-02-15,36246,2.76,2.75,24.92
buy,sh.688538,2023-02-16,37198,2.68,2.66,24.74
sell,sh.601866,2023-02-21,42191,,2.38,125.52
sell,sz.002958,2023-02-21,36246,,2.77,125.5
sell,sh.600901,2023-02-22,28116,,3.53,124.06
buy,sz.002958,2023-02-24,36041,2.78,2.77,24.96
buy,sh.600642,2023-03-03,19510,5.16,5.15,25.12
sell,sh.600642,2023-03-06,19510,,5.19,126.57
sell,sh.600008,2023-03-08,39419,,2.58,127.13
sell,sh.600177,2023-03-08,19724,,5.14,126.73
sell,sz.000598,2023-03-09,21136,,4.83,127.61
buy,sh.600177,2023-03-09,19562,5.15,5.14,25.14
buy,sz.000598,2023-03-10,20841,4.83,4.8,25.01
sell,sh.601665,2023-03-13,27432,,3.6,123.44
sell,sh.688538,2023-03-13,37198,,2.66,123.68
sell,sz.000598,2023-03-14,20841,,4.78,124.52
sell,sh.600177,2023-03-23,19562,,5.17,126.42
sell,sz.002958,2023-03-24,36041,,2.7,121.64
buy,sh.600177,2023-03-27,19424,5.16,5.14,24.96
sell,sh.600177,2023-03-28,19424,,5.13,124.56
buy,sh.601233,2023-03-29,6759,14.81,14.57,24.62
sell,sh.601233,2023-03-30,6759,,13.97,118.03
buy,sh.600008,2023-04-06,38263,2.61,2.59,24.78
buy,sh.600177,2023-04-06,19307,5.16,5.14,24.81
sell,sh.600008,2023-04-07,38263,,2.59,123.88
buy,sz.000598,2023-04-18,20662,4.83,4.82,24.9
buy,sz.000830,2023-04-18,8071,12.37,12.32,24.86
sell,sz.000830,2023-04-19,8071,,12.17,122.78
buy,sz.000415,2023-04-19,47300,2.11,2.1,24.83
buy,sz.002958,2023-04-19,37018,2.7,2.69,24.89
buy,sh.601665,2023-04-20,28307,3.52,3.52,24.91
buy,sz.000959,2023-04-21,25711,3.88,3.81,24.49
sell,sz.000415,2023-04-24,47300,,2.15,127.12
sell,sz.000959,2023-04-24,25711,,3.68,118.27
sell,sh.600177,2023-04-28,19307,,5.36,129.36
sell,sh.601665,2023-04-28,28307,,3.58,126.67
sell,sz.000598,2023-04-28,20662,,4.85,125.26
sell,sz.002958,2023-05-12,37018,,2.8,129.56
buy,sh.600177,2023-05-15,18227,5.51,5.47,24.93
sell,sh.600177,2023-05-16,18227,,5.53,125.99
buy,sz.002831,2023-05-16,4392,22.88,22.6,24.81
buy,sz.003035,2023-05-17,14710,6.83,6.72,24.71
sell,sz.002831,2023-05-18,4392,,22.24,122.1
sell,sz.003035,2023-05-18,14710,,6.57,120.81
buy,sz.002958,2023-05-19,36379,2.75,2.73,24.83
buy,sh.600008,2023-05-31,36885,2.7,2.67,24.62
sell,sh.600008,2023-06-01,36885,,2.64,121.72
sell,sz.002958,2023-06-16,36379,,2.57,116.87
buy,sh.600177,2023-06-19,18094,5.49,5.45,24.65
sell,sh.600177,2023-07-12,18094,,5.46,123.49
buy,sh.600282,2023-07-12,31976,3.11,3.1,24.78
buy,sh.601866,2023-07-12,42736,2.33,2.32,24.79
sell,sh.600282,2023-07-13,31976,,3.1,123.91
sell,sh.601866,2023-07-14,42736,,2.33,124.47
buy,sz.002958,2023-07-14,38748,2.57,2.56,24.8
buy,sh.601866,2023-07-17,42736,2.33,2.32,24.79
buy,sh.601665,2023-07-18,28819,3.45,3.44,24.78
buy,sz.000921,2023-07-18,4302,23.09,22.99,24.73
sell,sz.000921,2023-07-19,4302,,23.19,124.7
buy,sh.600177,2023-07-19,17899,5.55,5.55,24.83
buy,sh.688538,2023-07-19,38227,2.6,2.6,24.85
sell,sh.600177,2023-07-24,17899,,5.63,125.96
sell,sh.601665,2023-07-24,28819,,3.49,125.72
sell,sh.601866,2023-07-24,42736,,2.34,125.0
sell,sh.688538,2023-07-24,38227,,2.62,125.19
buy,sh.601665,2023-08-01,27258,3.7,3.69,25.15
buy,sh.688538,2023-08-01,37893,2.66,2.66,25.2
buy,sh.600177,2023-08-02,16781,6.02,6.01,25.21
buy,sh.601866,2023-08-02,41235,2.45,2.44,25.15
sell,sz.002958,2023-08-04,38748,,2.89,139.98
sell,sh.600177,2023-08-07,16781,,5.98,125.44
sell,sh.601665,2023-08-07,27258,,3.7,126.07
