type,symbol,date,shares,limit_price,fill_price,fees
buy,sz.000528,2024-02-05,14778,6.77,6.72,24.83
buy,sz.000400,2024-02-08,4726,21.33,21.28,25.14
buy,sz.000513,2024-02-08,2834,35.56,35.48,25.14
buy,sz.000050,2024-02-19,10936,9.18,9.06,24.77
buy,sz.000537,2024-02-19,10574,9.49,9.43,24.93
buy,sz.000021,2024-02-20,7898,12.69,12.67,25.02
buy,sz.000034,2024-02-20,3818,26.24,25.61,24.44
buy,sz.000060,2024-02-20,24224,4.14,4.11,24.89
buy,sz.000519,2024-02-20,8116,12.35,12.19,24.73
buy,sz.000155,2024-03-01,9448,11.06,11.03,26.05
sell,sz.000528,2024-03-12,14778,,7.56,139.65
buy,sz.000528,2024-03-13,14251,7.6,7.57,26.97
sell,sz.000400,2024-03-15,4726,,23.72,140.13
sell,sz.000513,2024-03-15,2834,,35.72,126.54
sell,sz.000050,2024-03-18,10936,,9.15,125.08
sell,sz.000537,2024-03-18,10574,,9.38,123.98
buy,sz.000513,2024-03-18,3014,36.0,35.97,27.1
sell,sz.000021,2024-03-19,7898,,14.76,145.72
sell,sz.000034,2024-03-19,3818,,32.14,153.39
sell,sz.000060,2024-03-19,24224,,4.57,138.38
sell,sz.000519,2024-03-19,8116,,13.35,135.44
buy,sz.000050,2024-03-19,11975,9.13,9.1,27.24
buy,sz.000400,2024-03-19,4412,24.78,24.46,26.98
buy,sz.000537,2024-03-19,11598,9.43,9.39,27.23
buy,sz.000060,2024-03-20,24003,4.53,4.52,27.12
buy,sz.000034,2024-03-21,3396,31.99,31.89,27.07
buy,sz.000519,2024-03-21,8138,13.35,13.33,27.12
buy,sz.000021,2024-03-25,7288,14.63,14.31,26.07
sell,sz.000050,2024-03-27,11975,,8.2,122.74
sell,sz.000021,2024-03-28,7288,,13.33,121.44
sell,sz.000155,2024-03-28,9448,,10.1,119.28
sell,sz.000519,2024-03-28,8138,,12.43,126.44
sell,sz.000034,2024-04-01,3396,,29.27,124.25
buy,sz.000155,2024-04-03,9591,10.9,10.83,25.97
sell,sz.000528,2024-04-12,14251,,10.32,183.84
buy,sz.000528,2024-04-16,10390,10.49,10.02,26.03
sell,sz.000513,2024-04-17,3014,,35.31,133.03
sell,sz.000155,2024-04-17,9591,,10.12,121.33
sell,sz.000400,2024-04-18,4412,,27.17,149.84
sell,sz.000537,2024-04-18,11598,,9.6,139.18
sell,sz.000060,2024-04-19,24003,,4.76,142.82
buy,sz.000400,2024-04-19,4037,27.14,27.09,27.34
buy,sz.000060,2024-04-22,23267,4.72,4.67,27.16
buy,sz.000537,2024-04-22,11536,9.51,9.35,26.97
buy,sz.000513,2024-04-23,3085,35.17,34.71,26.77
sell,sz.000537,2024-04-24,11536,,8.77,126.46
buy,sz.000519,2024-04-24,7146,14.97,14.52,25.94
buy,sz.000034,2024-04-25,3839,28.11,27.79,26.67
buy,sz.000021,2024-04-30,7878,13.83,13.63,26.84
buy,sz.000050,2024-04-30,13307,8.19,8.14,27.08
buy,sz.000537,2024-04-30,11860,9.19,8.95,26.54
sell,sz.000519,2024-05-06,7146,,13.51,120.68
buy,sz.000519,2024-05-08,7926,13.79,13.59,26.93
buy,sz.000155,2024-05-13,9178,11.99,11.91,27.33
sell,sz.000528,2024-05-17,10390,,10.15,131.82
buy,sz.000528,2024-05-20,10505,10.33,10.15,26.66
sell,sz.000400,2024-05-22,4037,,26.75,134.99
sell,sz.000060,2024-05-23,23267,,4.51,131.17
buy,sz.000400,2024-05-23,4092,26.49,26.15,26.75
sell,sz.000513,2024-05-24,3085,,36.33,140.1
sell,sz.000021,2024-05-27,7878,,12.49,123.0
sell,sz.000034,2024-05-28,3839,,29.1,139.64
buy,sz.000060,2024-05-30,22489,4.76,4.66,26.2
sell,sz.000050,2024-05-31,13307,,7.63,126.92
sell,sz.000537,2024-05-31,11860,,10.07,149.29
buy,sz.000021,2024-06-04,8269,13.09,12.86,26.58
buy,sz.000034,2024-06-04,3681,29.4,29.1,26.78
buy,sz.000537,2024-06-04,10370,10.44,10.35,26.83
sell,sz.000519,2024-06-05,7926,,14.3,141.68
buy,sz.000519,2024-06-06,7358,14.91,14.72,27.08
buy,sz.000513,2024-06-07,2936,37.4,37.3,27.38
sell,sz.000155,2024-06-11,9178,,11.15,127.92
sell,sz.000060,2024-06-12,22489,,4.26,119.75
buy,sz.000155,2024-06-13,9816,11.41,11.36,27.88
sell,sz.000528,2024-06-18,10505,,10.8,141.82
sell,sz.000034,2024-06-18,3681,,23.83,109.65
buy,sz.000050,2024-06-19,14110,7.86,7.81,27.55
buy,sz.000528,2024-06-19,9918,11.18,11.12,27.57
sell,sz.000400,2024-06-21,4092,,31.85,162.91
sell,sz.000537,2024-06-25,10370,,9.25,119.9
buy,sz.000400,2024-06-25,3298,32.0,31.47,25.95
sell,sz.000050,2024-06-26,14110,,7.05,124.34
sell,sz.000155,2024-06-26,9816,,10.56,129.57
