type,symbol,date,shares,limit_price,fill_price,fees
buy,sh.600008,2023-02-08,39419,2.54,2.52,24.83
buy,sh.600820,2023-02-08,21341,4.69,4.66,24.86
buy,sh.600901,2023-02-08,27955,3.58,3.55,24.81
buy,sz.000921,2023-02-08,6553,15.26,15.18,24.87
buy,sz.000932,2023-02-08,21909,4.56,4.55,24.92
buy,sh.600583,2023-02-13,15699,6.39,6.38,25.04
sell,sh.600008,2023-02-14,39419,,2.54,125.16
buy,sh.601000,2023-02-15,41070,2.46,2.45,25.16
buy,sh.601880,2023-02-15,64649,1.56,1.56,25.21
buy,sz.000088,2023-02-15,20930,4.83,4.8,25.12
buy,sz.000429,2023-02-15,15043,6.72,6.7,25.2
sell,sh.601000,2023-02-16,41070,,2.43,124.75
sell,sz.000088,2023-02-16,20930,,4.74,124.01
buy,sz.000027,2023-02-16,17028,5.89,5.82,24.78
buy,sh.601997,2023-02-17,20838,4.78,4.77,24.85
sell,sz.000921,2023-02-20,6553,,16.08,131.72
sell,sz.000027,2023-02-21,17028,,5.84,124.3
buy,sh.600008,2023-02-22,40138,2.54,2.53,25.39
buy,sh.601000,2023-02-22,41223,2.47,2.46,25.35
buy,sz.000831,2023-02-22,2444,41.65,41.0,25.05
sell,sz.000831,2023-02-23,2444,,40.66,124.22
buy,sz.000921,2023-02-23,5803,17.34,17.31,25.11
sell,sh.600901,2023-02-24,27955,,3.52,123.0
sell,sh.601000,2023-02-24,41223,,2.53,130.37
sell,sz.000429,2023-02-24,15043,,6.72,126.36
buy,sh.601921,2023-02-24,15139,6.71,6.71,25.4
buy,sz.000967,2023-02-24,20006,5.08,5.05,25.26
sell,sh.600008,2023-02-27,40138,,2.52,126.43
sell,sh.600583,2023-02-27,15699,,6.26,122.84
sell,sh.600820,2023-02-27,21341,,4.77,127.25
buy,sz.002465,2023-02-27,11137,9.1,9.1,25.34
sell,sz.000921,2023-02-28,5803,,16.92,122.73
buy,sz.300487,2023-02-28,1658,60.84,60.82,25.21
