type,symbol,date,shares,limit_price,fill_price,fees
buy,sh.600021,2023-02-08,6628,10.06,10.0,16.57
buy,sh.600606,2023-02-08,21715,3.07,3.06,16.61
buy,sh.600927,2023-02-08,3899,17.09,17.03,16.6
buy,sh.601099,2023-02-08,24420,2.73,2.72,16.61
buy,sh.601212,2023-02-08,24154,2.76,2.75,16.61
buy,sz.000729,2023-02-08,5575,11.96,11.91,16.6
buy,sz.000921,2023-02-08,4369,15.26,15.18,16.58
buy,sz.002065,2023-02-08,10555,6.32,6.25,16.49
buy,sz.002261,2023-02-08,8726,7.64,7.62,16.62
buy,sz.002608,2023-02-08,11025,6.05,6.03,16.62
buy,sz.301301,2023-02-08,7637,8.73,8.69,16.59
sell,sh.600927,2023-02-09,3899,,17.02,82.95
sell,sh.601099,2023-02-09,24420,,2.72,83.03
sell,sh.601212,2023-02-09,24154,,2.74,82.73
sell,sz.000729,2023-02-09,5575,,12.28,85.58
sell,sz.000921,2023-02-09,4369,,15.25,83.28
sell,sz.002065,2023-02-09,10555,,6.32,83.38
sell,sz.002261,2023-02-09,8726,,7.7,83.99
sell,sz.301301,2023-02-09,7637,,8.59,82.0
buy,sh.600032,2023-02-09,5671,11.7,11.7,16.59
buy,sh.600863,2023-02-09,21521,3.08,3.08,16.57
buy,sz.000883,2023-02-09,16277,4.08,4.07,16.56
sell,sh.600021,2023-02-10,6628,,10.19,84.42
sell,sh.600606,2023-02-10,21715,,3.08,83.6
sell,sh.600863,2023-02-10,21521,,3.15,84.74
sell,sz.000883,2023-02-10,16277,,4.14,84.23
buy,sh.600008,2023-02-10,26332,2.54,2.53,16.65
buy,sh.600141,2023-02-10,2394,27.9,27.85,16.67
buy,sh.600153,2023-02-10,6360,10.5,10.42,16.57
buy,sh.600801,2023-02-10,4767,14.01,14.01,16.7
buy,sh.601866,2023-02-10,28158,2.37,2.37,16.68
sell,sh.600141,2023-02-13,2394,,27.83,83.28
sell,sh.600153,2023-02-13,6360,,10.42,82.84
sell,sh.600801,2023-02-13,4767,,14.35,85.51
buy,sh.601212,2023-02-13,24416,2.75,2.74,16.72
buy,sz.002244,2023-02-13,6553,10.25,10.2,16.71
sell,sh.600032,2023-02-14,5671,,11.94,84.64
sell,sz.002608,2023-02-14,11025,,6.1,84.07
buy,sh.601198,2023-02-14,8048,8.36,8.32,16.74
sell,sh.601212,2023-02-15,24416,,2.76,84.24
sell,sz.002244,2023-02-15,6553,,9.94,81.42
buy,sh.600606,2023-02-15,21169,3.18,3.15,16.67
buy,sh.600820,2023-02-15,14288,4.71,4.7,16.79
buy,sh.601000,2023-02-15,27349,2.46,2.45,16.75
buy,sh.603077,2023-02-15,20939,3.21,3.19,16.7
buy,sz.000528,2023-02-15,10780,6.24,6.24,16.82
buy,sz.000883,2023-02-15,16132,4.17,4.15,16.74
buy,sz.000932,2023-02-15,14385,4.68,4.66,16.76
buy,sz.002508,2023-02-15,2520,26.71,26.24,16.53
buy,sz.002608,2023-02-15,10993,6.12,6.1,16.76
sell,sh.600606,2023-02-16,21169,,3.14,83.09
sell,sz.002508,2023-02-16,2520,,25.48,80.26
buy,sh.601928,2023-02-16,9140,7.31,7.27,16.61
buy,sh.688538,2023-02-16,24949,2.68,2.66,16.59
sell,sh.600008,2023-02-17,26332,,2.51,82.62
sell,sh.600820,2023-02-17,14288,,4.66,83.23
sell,sh.601000,2023-02-17,27349,,2.42,82.73
sell,sh.601198,2023-02-17,8048,,8.18,82.29
sell,sh.601866,2023-02-17,28158,,2.34,82.36
