type,symbol,date,shares,limit_price,fill_price,fees
buy,sz.000027,2024-01-31,16621,6.02,5.97,24.81
buy,sz.000032,2024-01-31,5370,18.62,17.77,23.86
buy,sz.000423,2024-01-31,2041,48.99,48.2,24.59
sell,sz.000032,2024-02-05,5370,,15.28,102.57
buy,sz.000039,2024-02-07,11818,8.44,8.43,24.91
buy,sz.000400,2024-02-08,4707,21.33,21.28,25.04
buy,sz.000513,2024-02-08,2823,35.56,35.48,25.04
buy,sz.000537,2024-02-19,10502,9.49,9.43,24.76
buy,sz.000034,2024-02-20,3790,26.24,25.61,24.27
buy,sz.000060,2024-02-20,24041,4.14,4.11,24.7
buy,sz.000088,2024-02-20,22274,4.46,4.42,24.61
buy,sz.000032,2024-02-21,5474,17.45,17.42,23.84
sell,sz.000027,2024-03-07,16621,,6.34,131.72
sell,sz.000423,2024-03-07,2041,,54.56,139.2
buy,sz.000423,2024-03-11,1940,55.07,54.99,26.67
buy,sz.000027,2024-03-12,16559,6.51,6.43,26.62
sell,sz.000039,2024-03-14,11818,,8.37,123.65
sell,sz.000400,2024-03-15,4707,,23.72,139.56
sell,sz.000513,2024-03-15,2823,,35.72,126.05
sell,sz.000537,2024-03-18,10502,,9.38,123.14
buy,sz.000513,2024-03-18,2944,36.0,35.97,26.47
sell,sz.000034,2024-03-19,3790,,32.14,152.26
sell,sz.000060,2024-03-19,24041,,4.57,137.33
sell,sz.000088,2024-03-19,22274,,4.41,122.79
buy,sz.000400,2024-03-19,4337,24.78,24.46,26.52
buy,sz.000537,2024-03-19,11399,9.43,9.39,26.76
sell,sz.000032,2024-03-20,5474,,20.66,141.37
buy,sz.000060,2024-03-20,23575,4.53,4.52,26.64
buy,sz.000032,2024-03-21,5086,21.01,20.82,26.47
buy,sz.000034,2024-03-21,3340,31.99,31.89,26.63
buy,sz.000088,2024-03-21,24387,4.38,4.38,26.7
buy,sz.000039,2024-03-22,11894,8.91,8.8,26.17
sell,sz.000032,2024-03-27,5086,,18.26,116.09
sell,sz.000034,2024-04-01,3340,,29.27,122.2
sell,sz.000423,2024-04-10,1940,,59.13,143.39
sell,sz.000027,2024-04-11,16559,,7.01,145.1
buy,sz.000027,2024-04-12,15290,7.07,7.02,26.83
buy,sz.000423,2024-04-12,1818,59.44,58.73,26.69
sell,sz.000513,2024-04-17,2944,,35.31,129.94
sell,sz.000400,2024-04-18,4337,,27.17,147.3
sell,sz.000537,2024-04-18,11399,,9.6,136.79
sell,sz.000060,2024-04-19,23575,,4.76,140.27
buy,sz.000400,2024-04-19,4048,27.14,27.09,27.42
sell,sz.000088,2024-04-22,24387,,4.57,139.31
buy,sz.000060,2024-04-22,23385,4.72,4.67,27.3
buy,sz.000537,2024-04-22,11594,9.51,9.35,27.1
sell,sz.000039,2024-04-23,11894,,8.94,132.92
buy,sz.000088,2024-04-23,23943,4.53,4.51,27.0
buy,sz.000513,2024-04-23,3083,35.17,34.71,26.75
sell,sz.000537,2024-04-24,11594,,8.77,127.1
buy,sz.000034,2024-04-25,3834,28.11,27.79,26.64
buy,sz.000537,2024-04-30,11926,9.19,8.95,26.68
buy,sz.000032,2024-05-06,6304,17.36,17.32,27.3
buy,sz.000039,2024-05-08,11960,9.21,9.12,27.27
sell,sz.000032,2024-05-14,6304,,16.43,129.47
sell,sz.000027,2024-05-15,15290,,7.19,137.42
sell,sz.000423,2024-05-15,1818,,65.27,148.33
buy,sz.000032,2024-05-15,6696,16.7,16.36,27.39
buy,sz.000027,2024-05-16,15560,7.12,7.11,27.66
buy,sz.000423,2024-05-16,1704,64.99,64.47,27.46
sell,sz.000400,2024-05-22,4048,,26.75,135.36
sell,sz.000060,2024-05-23,23385,,4.51,131.83
buy,sz.000400,2024-05-23,4172,26.49,26.15,27.27
sell,sz.000088,2024-05-24,23943,,4.57,136.77
sell,sz.000513,2024-05-24,3083,,36.33,140.01
sell,sz.000034,2024-05-28,3834,,29.1,139.46
buy,sz.000088,2024-05-28,24051,4.63,4.59,27.6
buy,sz.000060,2024-05-30,23161,4.76,4.66,26.98
sell,sz.000537,2024-05-31,11926,,10.07,150.12
buy,sz.000034,2024-06-04,3762,29.4,29.1,27.37
buy,sz.000537,2024-06-04,10599,10.44,10.35,27.42
sell,sz.000039,2024-06-05,11960,,10.26,153.39
buy,sz.000513,2024-06-07,2981,37.4,37.3,27.8
buy,sz.000039,2024-06-11,10937,10.22,9.7,26.52
sell,sz.000060,2024-06-12,23161,,4.26,123.33
sell,sz.000032,2024-06-13,6696,,15.89,133.0
sell,sz.000027,2024-06-14,15560,,6.97,135.57
sell,sz.000423,2024-06-14,1704,,60.63,129.14
buy,sz.000032,2024-06-17,6934,15.98,15.87,27.51
sell,sz.000034,2024-06-18,3762,,23.83,112.06
buy,sz.000423,2024-06-19,1727,64.04,63.63,27.47
sell,sz.000400,2024-06-21,4172,,31.85,166.1
buy,sz.000027,2024-06-24,15205,7.06,6.96,26.46
sell,sz.000032,2024-06-25,6934,,14.27,123.69
sell,sz.000537,2024-06-25,10599,,9.25,122.55
buy,sz.000400,2024-06-25,3297,32.0,31.47,25.94
sell,sz.000088,2024-06-26,24051,,4.32,129.88
