type,symbol,date,shares,limit_price,fill_price,fees
sell,sz.000709,2023-04-25,44612,,2.13,118.78
sell,sz.000825,2023-04-25,22507,,3.97,111.69
sell,sh.600688,2023-04-26,29413,,3.39,124.64
buy,sh.603129,2023-04-26,742,132.42,131.43,24.38
sell,sh.688475,2023-04-27,3773,,33.51,158.04
sell,sz.002851,2023-04-28,3294,,29.38,120.97
sell,sh.603129,2023-05-04,742,,128.72,119.39
buy,sh.600808,2023-05-05,35442,2.78,2.76,24.45
buy,sz.000415,2023-05-05,42628,2.31,2.29,24.4
buy,sz.000887,2023-05-09,8434,11.63,11.51,24.27
sell,sh.600808,2023-05-10,35442,,2.82,124.93
sell,sh.688525,2023-05-10,1065,,75.6,100.64
sell,sz.000887,2023-05-10,8434,,11.72,123.56
buy,sz.000519,2023-05-11,4952,19.6,19.45,24.08
buy,sz.300100,2023-05-11,18725,5.18,5.17,24.2
sell,sz.300100,2023-05-12,18725,,5.18,121.24
buy,sh.600884,2023-05-16,6401,15.17,15.16,24.26
sell,sz.000519,2023-05-17,4952,,19.2,118.85
buy,sh.601880,2023-05-18,61962,1.56,1.56,24.17
buy,sz.000519,2023-05-19,5060,19.11,18.97,24.0
sell,sz.000415,2023-05-22,42628,,2.26,120.42
sell,sz.000519,2023-05-22,5060,,18.88,119.42
buy,sh.601696,2023-05-23,8725,11.05,11.02,24.04
buy,sh.600143,2023-05-24,11244,8.56,8.51,23.92
buy,sh.600521,2023-05-24,5269,18.27,18.01,23.72
buy,sh.601061,2023-05-24,10802,8.91,8.91,24.06
sell,sh.600521,2023-05-25,5269,,17.81,117.3
buy,sz.300012,2023-05-25,5179,18.48,18.39,23.81
buy,sz.300100,2023-05-25,18199,5.26,5.22,23.75
sell,sh.601880,2023-05-26,61962,,1.52,117.73
sell,sz.300012,2023-05-26,5179,,18.7,121.06
sell,sz.300100,2023-05-26,18199,,5.3,120.57
sell,sh.600884,2023-05-29,6401,,14.45,115.62
sell,sh.601061,2023-05-29,10802,,8.81,118.96
sell,sh.601696,2023-05-29,8725,,10.71,116.81
buy,sh.600521,2023-05-29,5300,18.03,17.93,23.76
buy,sh.600352,2023-06-01,11270,8.44,8.39,23.64
buy,sh.688525,2023-06-02,905,105.03,103.14,23.34
sell,sh.688525,2023-06-05,905,,100.46,113.65
buy,sh.600392,2023-06-05,7411,12.81,12.73,23.59
sell,sh.600521,2023-06-15,5300,,17.51,116.0
buy,sh.600171,2023-06-16,5108,18.6,18.55,23.69
buy,sh.600369,2023-06-16,26269,3.62,3.61,23.71
buy,sh.600497,2023-06-19,19513,4.88,4.84,23.61
sell,sh.600369,2023-06-20,26269,,3.57,117.23
sell,sh.600497,2023-06-20,19513,,4.76,116.1
buy,sh.600655,2023-06-20,14641,6.47,6.46,23.65
buy,sh.601233,2023-06-20,7255,13.05,12.94,23.47
buy,sh.603345,2023-06-20,646,146.49,146.39,23.64
buy,sh.688525,2023-06-20,947,100.01,97.98,23.2
sell,sh.600143,2023-06-21,11244,,8.37,117.64
sell,sh.600171,2023-06-21,5108,,18.46,117.87
sell,sh.601233,2023-06-21,7255,,12.8,116.08
buy,sh.688728,2023-06-21,5793,16.28,16.02,23.2
buy,sz.002266,2023-06-21,24316,3.88,3.87,23.53
buy,sz.300002,2023-06-21,6185,15.25,14.77,22.84
sell,sh.600655,2023-06-26,14641,,6.3,115.3
sell,sh.603345,2023-06-26,646,,143.48,115.86
sell,sh.688525,2023-06-26,947,,85.3,100.97
sell,sz.300002,2023-06-26,6185,,13.43,103.83
buy,sh.688188,2023-06-26,927,99.23,98.91,22.92
sell,sh.688728,2023-06-27,5793,,15.65,113.33
sell,sh.688188,2023-06-28,927,,95.12,110.22
buy,sh.600143,2023-06-28,10897,8.36,8.35,22.75
buy,sz.002064,2023-06-28,13893,6.55,6.55,22.75
sell,sh.600352,2023-06-29,11270,,8.23,115.94
sell,sh.600392,2023-06-29,7411,,12.38,114.69
sell,sz.002064,2023-06-29,13893,,6.56,113.92
sell,sz.002266,2023-06-29,24316,,3.98,120.97
buy,sh.601611,2023-06-29,11189,8.15,8.14,22.77
buy,sh.603737,2023-06-29,1918,47.5,46.51,22.3
buy,sz.000683,2023-06-29,14641,6.23,6.21,22.73
buy,sz.002372,2023-06-29,4739,19.23,19.0,22.51
sell,sh.600143,2023-06-30,10897,,8.42,114.69
sell,sh.601611,2023-06-30,11189,,8.18,114.41
sell,sh.603737,2023-06-30,1918,,45.65,109.45
sell,sz.000683,2023-06-30,14641,,6.36,116.4
sell,sz.002372,2023-06-30,4739,,18.76,111.13
buy,sh.600602,2023-06-30,6348,14.32,14.24,22.6
buy,sz.300002,2023-06-30,6534,13.92,13.64,22.28
buy,sh.603728,2023-07-03,1144,80.2,77.29,22.1
buy,sz.002281,2023-07-03,2515,36.48,35.27,22.18
sell,sh.600602,2023-07-04,6348,,14.71,116.72
sell,sh.603728,2023-07-04,1144,,72.28,103.36
sell,sz.002281,2023-07-04,2515,,35.94,112.99
sell,sz.300002,2023-07-04,6534,,11.87,96.95
buy,sh.600021,2023-07-04,8649,10.37,10.3,22.27
buy,sh.600352,2023-07-04,10712,8.37,8.37,22.41
buy,sh.600516,2023-07-04,14540,6.17,6.15,22.36
buy,sh.601128,2023-07-04,16997,5.28,5.24,22.27
sell,sh.600021,2023-07-05,8649,,10.35,111.9
buy,sh.601016,2023-07-05,26048,3.45,3.44,22.4
buy,sh.601099,2023-07-05,34683,2.59,2.58,22.37
sell,sh.600352,2023-07-06,10712,,8.36,111.94
sell,sh.600516,2023-07-06,14540,,6.17,112.14
sell,sh.601099,2023-07-06,34683,,2.58,111.85
sell,sh.601128,2023-07-06,16997,,5.19,110.27
buy,sh.600143,2023-07-06,10351,8.68,8.65,22.38
buy,sh.601958,2023-07-06,8364,10.74,10.58,22.12
buy,sh.688122,2023-07-06,1650,54.43,53.38,22.02
buy,sh.688301,2023-07-06,632,142.09,140.33,22.17
buy,sz.000039,2023-07-06,13454,6.68,6.67,22.43
buy,sz.000155,2023-07-06,6138,14.63,14.45,22.17
buy,sz.000887,2023-07-06,6830,13.15,13.1,22.37
sell,sh.688122,2023-07-07,1650,,52.49,108.26
sell,sh.688301,2023-07-07,632,,141.52,111.8
sell,sz.000039,2023-07-07,13454,,6.71,112.85
