date,cash,equity,margin,market_value,pnl,unrealized_pnl,fees
2024-01-02,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-03,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-04,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-05,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-08,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-09,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-10,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-11,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-12,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-15,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-16,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-17,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-18,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-19,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-22,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-23,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-24,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-25,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-26,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-29,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-30,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2024-01-31,706898.27,996186.36,0.0,996186.36,-3813.64,0.0,73.26
2024-02-01,706898.27,993144.49,0.0,993144.49,-6855.51,0.0,73.26
2024-02-02,706898.27,988388.94,0.0,988388.94,-11611.06,0.0,73.26
2024-02-05,788849.31,985331.33,0.0,985331.33,-14668.67,0.0,175.82
2024-02-06,788849.31,996952.63,0.0,996952.63,-3047.37,0.0,175.82
2024-02-07,689198.66,1004005.53,0.0,1004005.53,4005.53,0.0,200.73
2024-02-08,488823.58,997060.38,0.0,997060.38,-2939.62,0.0,250.81
2024-02-19,389764.96,994532.85,0.0,994532.85,-5467.15,0.0,275.57
2024-02-20,95369.89,1009347.65,0.0,1009347.65,9347.65,0.0,349.15
2024-02-21,-11.03,996700.0,0.0,996700.0,-3300.0,0.0,372.99
2024-02-22,-11.03,1006813.0,0.0,1006813.0,6813.0,0.0,372.99
2024-02-23,-11.03,1011270.06,0.0,1011270.06,11270.06,0.0,372.99
2024-02-26,-11.03,1008698.97,0.0,1008698.97,8698.97,0.0,372.99
2024-02-27,-11.03,1028759.77,0.0,1028759.77,28759.77,0.0,372.99
2024-02-28,-11.03,1006809.1,0.0,1006809.1,6809.1,0.0,372.99
2024-02-29,-11.03,1036756.19,0.0,1036756.19,36756.19,0.0,372.99
2024-03-01,-11.03,1056140.95,0.0,1056140.95,56140.95,0.0,372.99
2024-03-04,-11.03,1069612.27,0.0,1069612.27,69612.27,0.0,372.99
2024-03-05,-11.03,1064273.14,0.0,1064273.14,64273.14,0.0,372.99
2024-03-06,-11.03,1069157.51,0.0,1069157.51,69157.51,0.0,372.99
