date,symbol
2022-11-28,sz.000591
2022-11-28,sz.000878
2022-11-28,sz.000887
2022-11-28,sz.000050
2022-11-28,sz.000709
2022-11-28,sz.000060
2022-11-28,sz.000921
2022-11-28,sz.000783
2022-11-28,sz.000598
2022-11-28,sz.000039
2022-11-28,sz.000429
2022-11-28,sz.000088
2022-11-28,sz.000062
2022-11-28,sz.000623
2022-11-28,sz.000785
2022-11-28,sz.000034
2022-11-28,sz.000883
2022-11-28,sz.000898
2022-11-28,sz.000830
2022-11-28,sz.000825
2022-11-28,sz.000021
2022-11-28,sz.000683
2022-11-28,sz.000582
2022-11-28,sz.000703
2022-11-28,sz.000027
2022-11-28,sz.000415
2022-11-28,sz.000528
2022-11-28,sz.000728
2022-11-28,sz.000563
2022-11-28,sz.000750
2022-11-29,sz.000591
2022-11-29,sz.000878
2022-11-29,sz.000887
2022-11-29,sz.000050
2022-11-29,sz.000709
2022-11-29,sz.000060
2022-11-29,sz.000921
2022-11-29,sz.000893
2022-11-29,sz.000783
2022-11-29,sz.000598
2022-11-29,sz.000039
2022-11-29,sz.000429
2022-11-29,sz.000088
2022-11-29,sz.000062
2022-11-29,sz.000623
2022-11-29,sz.000785
2022-11-29,sz.000034
2022-11-29,sz.000883
2022-11-29,sz.000898
2022-11-29,sz.000830
2022-11-29,sz.000825
2022-11-29,sz.000683
2022-11-29,sz.000582
2022-11-29,sz.000703
2022-11-29,sz.000027
2022-11-29,sz.000415
2022-11-29,sz.000528
2022-11-29,sz.000728
2022-11-29,sz.000563
2022-11-29,sz.000750
2022-11-30,sz.000591
2022-11-30,sz.000878
2022-11-30,sz.000887
2022-11-30,sz.000050
2022-11-30,sz.000709
2022-11-30,sz.000060
2022-11-30,sz.000921
2022-11-30,sz.000893
2022-11-30,sz.000783
2022-11-30,sz.000598
2022-11-30,sz.000039
2022-11-30,sz.000429
2022-11-30,sz.000088
2022-11-30,sz.000062
2022-11-30,sz.000623
2022-11-30,sz.000785
2022-11-30,sz.000034
2022-11-30,sz.000883
2022-11-30,sz.000898
2022-11-30,sz.000830
2022-11-30,sz.000825
2022-11-30,sz.000683
2022-11-30,sz.000582
2022-11-30,sz.000703
2022-11-30,sz.000027
2022-11-30,sz.000415
2022-11-30,sz.000528
2022-11-30,sz.000728
2022-11-30,sz.000563
2022-11-30,sz.000750
2022-12-01,sz.000591
2022-12-01,sz.000878
2022-12-01,sz.000887
2022-12-01,sz.000050
2022-12-01,sz.000709
2022-12-01,sz.000060
2022-12-01,sz.000921
2022-12-01,sz.000893
2022-12-01,sz.000783
2022-12-01,sz.000598
2022-12-01,sz.000039
2022-12-01,sz.000429
2022-12-01,sz.000088
2022-12-01,sz.000062
2022-12-01,sz.000623
2022-12-01,sz.000785
2022-12-01,sz.000034
2022-12-01,sz.000883
2022-12-01,sz.000898
2022-12-01,sz.000830
2022-12-01,sz.000825
2022-12-01,sz.000683
2022-12-01,sz.000582
2022-12-01,sz.000703
2022-12-01,sz.000027
2022-12-01,sz.000415
2022-12-01,sz.000528
2022-12-01,sz.000728
2022-12-01,sz.000563
2022-12-01,sz.000750
2022-12-02,sz.000591
2022-12-02,sz.000878
2022-12-02,sz.000887
2022-12-02,sz.000050
2022-12-02,sz.000709
2022-12-02,sz.000060
2022-12-02,sz.000921
2022-12-02,sz.000783
2022-12-02,sz.000598
2022-12-02,sz.000039
2022-12-02,sz.000429
2022-12-02,sz.000088
2022-12-02,sz.000062
2022-12-02,sz.000623
2022-12-02,sz.000785
2022-12-02,sz.000034
2022-12-02,sz.000883
2022-12-02,sz.000898
2022-12-02,sz.000830
2022-12-02,sz.000825
2022-12-02,sz.000021
2022-12-02,sz.000683
2022-12-02,sz.000582
2022-12-02,sz.000703
2022-12-02,sz.000027
2022-12-02,sz.000415
2022-12-02,sz.000528
2022-12-02,sz.000728
2022-12-02,sz.000563
2022-12-02,sz.000750
2022-12-05,sz.000591
2022-12-05,sz.000887
2022-12-05,sz.000050
2022-12-05,sz.000709
2022-12-05,sz.000060
2022-12-05,sz.000513
2022-12-05,sz.000400
2022-12-05,sz.000539
2022-12-05,sz.000893
2022-12-05,sz.000783
2022-12-05,sz.000598
2022-12-05,sz.000537
2022-12-05,sz.000155
2022-12-05,sz.000088
2022-12-05,sz.000062
2022-12-05,sz.000733
2022-12-05,sz.000785
2022-12-05,sz.000883
2022-12-05,sz.000898
2022-12-05,sz.000423
2022-12-05,sz.000830
2022-12-05,sz.000723
2022-12-05,sz.000009
2022-12-05,sz.000021
2022-12-05,sz.000582
2022-12-05,sz.000027
2022-12-05,sz.000528
2022-12-05,sz.000559
2022-12-05,sz.000738
2022-12-05,sz.000750
2022-12-06,sz.000591
2022-12-06,sz.000887
2022-12-06,sz.000050
2022-12-06,sz.000709
2022-12-06,sz.000032
2022-12-06,sz.000060
2022-12-06,sz.000513
