date,symbol
2023-10-09,sz.000537
2023-10-09,sz.000400
2023-10-09,sz.000039
2023-10-09,sz.000060
2023-10-09,sz.000032
2023-10-09,sz.000088
2023-10-09,sz.000423
2023-10-09,sz.000034
2023-10-09,sz.000513
2023-10-09,sz.000027
2023-10-09,sz.000426
2023-10-09,sz.000519
2023-10-09,sz.000415
2023-10-09,sz.000429
2023-10-09,sz.000155
2023-10-09,sz.000050
2023-10-09,sz.000021
2023-10-09,sz.000528
2023-10-09,sz.000062
2023-10-09,sz.000009
2023-10-10,sz.000537
2023-10-10,sz.000400
2023-10-10,sz.000039
2023-10-10,sz.000060
2023-10-10,sz.000032
2023-10-10,sz.000088
2023-10-10,sz.000423
2023-10-10,sz.000034
2023-10-10,sz.000513
2023-10-10,sz.000027
2023-10-10,sz.000426
2023-10-10,sz.000519
2023-10-10,sz.000415
2023-10-10,sz.000429
2023-10-10,sz.000155
2023-10-10,sz.000050
2023-10-10,sz.000021
2023-10-10,sz.000528
2023-10-10,sz.000062
2023-10-10,sz.000009
2023-10-11,sz.000537
2023-10-11,sz.000400
2023-10-11,sz.000039
2023-10-11,sz.000060
2023-10-11,sz.000032
2023-10-11,sz.000088
2023-10-11,sz.000423
2023-10-11,sz.000034
2023-10-11,sz.000513
2023-10-11,sz.000027
2023-10-11,sz.000426
2023-10-11,sz.000519
2023-10-11,sz.000415
2023-10-11,sz.000429
2023-10-11,sz.000155
2023-10-11,sz.000050
2023-10-11,sz.000021
2023-10-11,sz.000528
2023-10-11,sz.000062
2023-10-11,sz.000009
2023-10-12,sz.000537
2023-10-12,sz.000400
2023-10-12,sz.000039
2023-10-12,sz.000060
2023-10-12,sz.000032
2023-10-12,sz.000088
2023-10-12,sz.000423
2023-10-12,sz.000034
2023-10-12,sz.000513
2023-10-12,sz.000027
2023-10-12,sz.000426
2023-10-12,sz.000519
2023-10-12,sz.000415
2023-10-12,sz.000429
2023-10-12,sz.000155
2023-10-12,sz.000050
2023-10-12,sz.000021
2023-10-12,sz.000528
2023-10-12,sz.000062
2023-10-12,sz.000009
2023-10-13,sz.000537
2023-10-13,sz.000400
2023-10-13,sz.000039
2023-10-13,sz.000060
2023-10-13,sz.000032
2023-10-13,sz.000088
2023-10-13,sz.000423
2023-10-13,sz.000034
2023-10-13,sz.000513
2023-10-13,sz.000027
2023-10-13,sz.000426
2023-10-13,sz.000519
2023-10-13,sz.000415
2023-10-13,sz.000429
2023-10-13,sz.000155
2023-10-13,sz.000050
2023-10-13,sz.000021
2023-10-13,sz.000528
2023-10-13,sz.000062
2023-10-13,sz.000009
2023-10-16,sz.000537
2023-10-16,sz.000400
2023-10-16,sz.000039
2023-10-16,sz.000060
2023-10-16,sz.000032
2023-10-16,sz.000088
2023-10-16,sz.000423
2023-10-16,sz.000034
2023-10-16,sz.000513
2023-10-16,sz.000027
2023-10-16,sz.000426
2023-10-16,sz.000519
2023-10-16,sz.000415
2023-10-16,sz.000429
2023-10-16,sz.000155
2023-10-16,sz.000050
2023-10-16,sz.000021
2023-10-16,sz.000528
2023-10-16,sz.000062
2023-10-16,sz.000009
2023-10-17,sz.000537
2023-10-17,sz.000400
2023-10-17,sz.000039
2023-10-17,sz.000060
2023-10-17,sz.000032
2023-10-17,sz.000088
2023-10-17,sz.000423
2023-10-17,sz.000034
2023-10-17,sz.000513
2023-10-17,sz.000027
2023-10-17,sz.000426
2023-10-17,sz.000519
2023-10-17,sz.000415
2023-10-17,sz.000429
2023-10-17,sz.000155
2023-10-17,sz.000050
2023-10-17,sz.000021
2023-10-17,sz.000528
2023-10-17,sz.000062
2023-10-17,sz.000009
2023-10-18,sz.000537
2023-10-18,sz.000400
2023-10-18,sz.000039
2023-10-18,sz.000060
2023-10-18,sz.000032
2023-10-18,sz.000088
2023-10-18,sz.000423
2023-10-18,sz.000034
2023-10-18,sz.000513
2023-10-18,sz.000027
2023-10-18,sz.000426
2023-10-18,sz.000519
2023-10-18,sz.000415
2023-10-18,sz.000429
2023-10-18,sz.000155
2023-10-18,sz.000050
2023-10-18,sz.000021
2023-10-18,sz.000528
2023-10-18,sz.000062
2023-10-18,sz.000009
2023-10-19,sz.000537
2023-10-19,sz.000400
2023-10-19,sz.000039
2023-10-19,sz.000060
2023-10-19,sz.000032
2023-10-19,sz.000088
2023-10-19,sz.000423
2023-10-19,sz.000034
2023-10-19,sz.000513
2023-10-19,sz.000027
2023-10-19,sz.000426
2023-10-19,sz.000519
2023-10-19,sz.000415
2023-10-19,sz.000429
2023-10-19,sz.000155
2023-10-19,sz.000050
2023-10-19,sz.000021
2023-10-19,sz.000528
2023-10-19,sz.000062
2023-10-19,sz.000009
2023-10-20,sz.000537
2023-10-20,sz.000400
2023-10-20,sz.000039
2023-10-20,sz.000060
2023-10-20,sz.000032
2023-10-20,sz.000088
2023-10-20,sz.000423
2023-10-20,sz.000034
2023-10-20,sz.000513
2023-10-20,sz.000027
2023-10-20,sz.000426
2023-10-20,sz.000519
2023-10-20,sz.000415
2023-10-20,sz.000429
2023-10-20,sz.000155
2023-10-20,sz.000050
2023-10-20,sz.000021
2023-10-20,sz.000528
2023-10-20,sz.000062
2023-10-20,sz.000009
2023-10-23,sz.000537
2023-10-23,sz.000400
2023-10-23,sz.000039
2023-10-23,sz.000060
2023-10-23,sz.000032
2023-10-23,sz.000088
2023-10-23,sz.000423
2023-10-23,sz.000034
2023-10-23,sz.000513
2023-10-23,sz.000027
2023-10-23,sz.000426
2023-10-23,sz.000519
2023-10-23,sz.000415
2023-10-23,sz.000429
2023-10-23,sz.000155
2023-10-23,sz.000050
2023-10-23,sz.000021
2023-10-23,sz.000528
2023-10-23,sz.000062
2023-10-23,sz.000009
2023-10-24,sz.000537
2023-10-24,sz.000400
2023-10-24,sz.000039
2023-10-24,sz.000060
2023-10-24,sz.000032
2023-10-24,sz.000088
2023-10-24,sz.000423
2023-10-24,sz.000034
2023-10-24,sz.000513
2023-10-24,sz.000027
2023-10-24,sz.000426
2023-10-24,sz.000519
2023-10-24,sz.000415
2023-10-24,sz.000429
2023-10-24,sz.000155
2023-10-24,sz.000050
2023-10-24,sz.000021
2023-10-24,sz.000528
2023-10-24,sz.000062
2023-10-24,sz.000009
2023-10-25,sz.000537
2023-10-25,sz.000400
2023-10-25,sz.000039
2023-10-25,sz.000060
2023-10-25,sz.000032
2023-10-25,sz.000088
2023-10-25,sz.000423
2023-10-25,sz.000034
2023-10-25,sz.000513
2023-10-25,sz.000027
2023-10-25,sz.000426
2023-10-25,sz.000519
2023-10-25,sz.000415
2023-10-25,sz.000429
2023-10-25,sz.000155
2023-10-25,sz.000050
2023-10-25,sz.000021
2023-10-25,sz.000528
2023-10-25,sz.000062
2023-10-25,sz.000009
2023-10-26,sz.000537
2023-10-26,sz.000400
2023-10-26,sz.000039
2023-10-26,sz.000060
2023-10-26,sz.000032
2023-10-26,sz.000088
2023-10-26,sz.000423
2023-10-26,sz.000034
2023-10-26,sz.000513
2023-10-26,sz.000027
2023-10-26,sz.000426
2023-10-26,sz.000519
2023-10-26,sz.000415
2023-10-26,sz.000429
2023-10-26,sz.000155
2023-10-26,sz.000050
2023-10-26,sz.000021
2023-10-26,sz.000528
2023-10-26,sz.000062
2023-10-26,sz.000009
2023-10-27,sz.000537
2023-10-27,sz.000400
2023-10-27,sz.000039
2023-10-27,sz.000060
2023-10-27,sz.000032
2023-10-27,sz.000088
2023-10-27,sz.000423
2023-10-27,sz.000034
2023-10-27,sz.000513
2023-10-27,sz.000027
2023-10-27,sz.000426
2023-10-27,sz.000519
2023-10-27,sz.000415
2023-10-27,sz.000429
2023-10-27,sz.000155
2023-10-27,sz.000050
2023-10-27,sz.000021
2023-10-27,sz.000528
2023-10-27,sz.000062
2023-10-27,sz.000009
2023-10-30,sz.000537
2023-10-30,sz.000400
2023-10-30,sz.000039
2023-10-30,sz.000060
2023-10-30,sz.000032
2023-10-30,sz.000088
2023-10-30,sz.000423
2023-10-30,sz.000034
2023-10-30,sz.000513
2023-10-30,sz.000027
2023-10-30,sz.000426
2023-10-30,sz.000519
2023-10-30,sz.000415
2023-10-30,sz.000429
2023-10-30,sz.000155
2023-10-30,sz.000050
2023-10-30,sz.000021
2023-10-30,sz.000528
2023-10-30,sz.000062
2023-10-30,sz.000009
2023-10-31,sz.000537
2023-10-31,sz.000400
2023-10-31,sz.000039
2023-10-31,sz.000060
2023-10-31,sz.000032
2023-10-31,sz.000088
2023-10-31,sz.000423
2023-10-31,sz.000034
2023-10-31,sz.000513
2023-10-31,sz.000027
2023-10-31,sz.000426
2023-10-31,sz.000519
2023-10-31,sz.000415
2023-10-31,sz.000429
2023-10-31,sz.000155
2023-10-31,sz.000050
2023-10-31,sz.000021
2023-10-31,sz.000528
2023-10-31,sz.000062
2023-10-31,sz.000009
2023-11-01,sz.000537
2023-11-01,sz.000400
2023-11-01,sz.000039
2023-11-01,sz.000060
2023-11-01,sz.000032
2023-11-01,sz.000088
2023-11-01,sz.000423
2023-11-01,sz.000034
2023-11-01,sz.000513
2023-11-01,sz.000027
2023-11-01,sz.000426
2023-11-01,sz.000519
2023-11-01,sz.000415
2023-11-01,sz.000429
2023-11-01,sz.000155
2023-11-01,sz.000050
2023-11-01,sz.000021
2023-11-01,sz.000528
2023-11-01,sz.000062
2023-11-01,sz.000009
2023-11-02,sz.000537
2023-11-02,sz.000400
2023-11-02,sz.000039
2023-11-02,sz.000060
2023-11-02,sz.000032
2023-11-02,sz.000088
2023-11-02,sz.000423
2023-11-02,sz.000034
2023-11-02,sz.000513
2023-11-02,sz.000027
2023-11-02,sz.000426
2023-11-02,sz.000519
2023-11-02,sz.000415
2023-11-02,sz.000429
2023-11-02,sz.000155
2023-11-02,sz.000050
2023-11-02,sz.000021
2023-11-02,sz.000528
2023-11-02,sz.000062
2023-11-02,sz.000009
2023-11-03,sz.000537
2023-11-03,sz.000400
2023-11-03,sz.000039
2023-11-03,sz.000060
2023-11-03,sz.000032
2023-11-03,sz.000088
2023-11-03,sz.000423
2023-11-03,sz.000034
2023-11-03,sz.000513
2023-11-03,sz.000027
2023-11-03,sz.000426
2023-11-03,sz.000519
2023-11-03,sz.000415
2023-11-03,sz.000429
2023-11-03,sz.000155
2023-11-03,sz.000050
2023-11-03,sz.000021
2023-11-03,sz.000528
2023-11-03,sz.000062
2023-11-03,sz.000009
2023-11-06,sz.000537
2023-11-06,sz.000400
2023-11-06,sz.000039
2023-11-06,sz.000060
2023-11-06,sz.000032
2023-11-06,sz.000088
2023-11-06,sz.000423
2023-11-06,sz.000034
2023-11-06,sz.000513
2023-11-06,sz.000027
2023-11-06,sz.000426
2023-11-06,sz.000519
2023-11-06,sz.000415
2023-11-06,sz.000429
2023-11-06,sz.000155
2023-11-06,sz.000050
2023-11-06,sz.000021
2023-11-06,sz.000528
2023-11-06,sz.000062
2023-11-06,sz.000009
2023-11-07,sz.000537
2023-11-07,sz.000400
2023-11-07,sz.000039
2023-11-07,sz.000060
2023-11-07,sz.000032
2023-11-07,sz.000088
2023-11-07,sz.000423
2023-11-07,sz.000034
2023-11-07,sz.000513
2023-11-07,sz.000027
2023-11-07,sz.000426
2023-11-07,sz.000519
2023-11-07,sz.000415
2023-11-07,sz.000429
2023-11-07,sz.000155
2023-11-07,sz.000050
2023-11-07,sz.000021
2023-11-07,sz.000528
2023-11-07,sz.000062
2023-11-07,sz.000009
2023-11-08,sz.000537
2023-11-08,sz.000400
2023-11-08,sz.000039
2023-11-08,sz.000060
2023-11-08,sz.000032
2023-11-08,sz.000088
2023-11-08,sz.000423
2023-11-08,sz.000034
2023-11-08,sz.000513
2023-11-08,sz.000027
2023-11-08,sz.000426
2023-11-08,sz.000519
2023-11-08,sz.000415
2023-11-08,sz.000429
2023-11-08,sz.000155
2023-11-08,sz.000050
2023-11-08,sz.000021
2023-11-08,sz.000528
2023-11-08,sz.000062
2023-11-08,sz.000009
2023-11-09,sz.000537
2023-11-09,sz.000400
2023-11-09,sz.000039
2023-11-09,sz.000060
2023-11-09,sz.000032
2023-11-09,sz.000088
2023-11-09,sz.000423
2023-11-09,sz.000034
2023-11-09,sz.000513
2023-11-09,sz.000027
2023-11-09,sz.000426
2023-11-09,sz.000519
2023-11-09,sz.000415
2023-11-09,sz.000429
2023-11-09,sz.000155
2023-11-09,sz.000050
2023-11-09,sz.000021
2023-11-09,sz.000528
2023-11-09,sz.000062
2023-11-09,sz.000009
2023-11-10,sz.000537
2023-11-10,sz.000400
2023-11-10,sz.000039
2023-11-10,sz.000060
2023-11-10,sz.000032
2023-11-10,sz.000088
2023-11-10,sz.000423
