type,symbol,date,shares,limit_price,fill_price,fees
buy,sz.000709,2024-01-31,49025,2.04,2.02,24.76
buy,sz.000400,2024-02-08,4715,21.33,21.28,25.08
buy,sz.000513,2024-02-08,2828,35.56,35.48,25.08
buy,sz.000783,2024-02-08,19337,5.2,5.19,25.09
buy,sz.000050,2024-02-19,10868,9.18,9.06,24.62
buy,sz.000887,2024-02-19,9498,10.5,10.43,24.77
buy,sz.000893,2024-02-19,4157,24.0,23.58,24.51
sell,sz.000513,2024-02-20,2828,,35.06,123.94
sell,sz.000893,2024-02-20,4157,,23.06,119.83
buy,sz.000539,2024-02-20,20276,4.88,4.82,24.43
buy,sz.000591,2024-02-20,19590,5.05,4.99,24.44
sell,sz.000400,2024-02-21,4715,,21.37,125.95
sell,sz.000887,2024-02-21,9498,,10.25,121.69
buy,sz.000032,2024-02-21,5687,17.45,17.42,24.77
buy,sz.000513,2024-02-21,2778,35.71,35.41,24.59
buy,sz.000598,2024-02-21,16865,5.88,5.85,24.67
buy,sz.000921,2024-02-21,3944,25.16,24.76,24.41
sell,sz.000032,2024-02-22,5687,,18.36,130.52
sell,sz.000050,2024-02-23,10868,,8.84,120.09
buy,sz.000400,2024-02-23,4718,21.16,21.08,24.86
buy,sz.000060,2024-02-26,23816,4.19,4.16,24.77
buy,sz.000878,2024-02-26,9251,10.77,10.63,24.58
sell,sz.000060,2024-02-27,23816,,4.13,122.95
sell,sz.000400,2024-02-28,4718,,21.37,126.03
buy,sz.000559,2024-02-28,21910,4.58,4.54,24.87
buy,sz.000887,2024-02-28,9169,10.94,10.8,24.76
sell,sz.000887,2024-02-29,9169,,10.62,121.72
sell,sz.000539,2024-03-01,20276,,4.81,121.91
buy,sz.000050,2024-03-04,10888,9.34,9.28,25.26
buy,sz.000887,2024-03-04,9352,10.87,10.77,25.18
sell,sz.000050,2024-03-05,10888,,9.28,126.3
sell,sz.000559,2024-03-05,21910,,4.5,123.24
sell,sz.000783,2024-03-05,19337,,5.1,123.27
sell,sz.000887,2024-03-05,9352,,10.72,125.32
buy,sz.000537,2024-03-05,10754,9.49,9.39,25.25
sell,sz.000709,2024-03-07,49025,,2.09,128.08
buy,sz.000400,2024-03-07,4220,24.12,23.86,25.17
buy,sz.000783,2024-03-07,19940,5.11,5.09,25.37
sell,sz.000400,2024-03-11,4220,,24.17,127.5
buy,sz.000060,2024-03-12,23351,4.43,4.36,25.45
buy,sz.000539,2024-03-12,20191,5.12,5.03,25.39
buy,sz.000709,2024-03-12,47629,2.11,2.09,24.89
sell,sz.000060,2024-03-14,23351,,4.43,129.31
buy,sz.000050,2024-03-14,10988,9.2,9.1,25.0
sell,sz.000050,2024-03-18,10988,,9.15,125.68
sell,sz.000539,2024-03-18,20191,,5.1,128.72
buy,sz.000060,2024-03-18,22510,4.57,4.56,25.66
sell,sz.000591,2024-03-19,19590,,5.15,126.11
buy,sz.000400,2024-03-19,4177,24.78,24.46,25.54
sell,sz.000513,2024-03-20,2778,,35.79,124.28
sell,sz.000598,2024-03-20,16865,,6.0,126.49
sell,sz.000921,2024-03-20,3944,,25.37,125.07
sell,sz.000878,2024-03-20,9251,,12.78,147.78
buy,sz.000539,2024-03-20,20360,5.05,5.03,25.6
buy,sz.000591,2024-03-21,20030,5.13,5.1,25.54
buy,sz.000598,2024-03-21,17038,6.03,5.98,25.47
sell,sz.000060,2024-03-25,22510,,4.44,124.93
sell,sz.000539,2024-03-25,20360,,4.98,126.74
buy,sz.000539,2024-03-26,20292,4.95,4.95,25.11
sell,sz.000539,2024-03-28,20292,,4.9,124.29
sell,sz.000537,2024-04-02,10754,,9.2,123.67
buy,sz.000921,2024-04-02,3542,28.82,28.8,25.5
sell,sz.000783,2024-04-08,19940,,5.15,128.36
buy,sz.000039,2024-04-09,11063,9.28,9.09,25.14
sell,sz.000400,2024-04-10,4177,,24.09,125.78
sell,sz.000709,2024-04-11,47629,,2.13,126.81
buy,sz.000539,2024-04-11,18348,5.6,5.56,25.5
buy,sz.000878,2024-04-11,7333,14.0,13.62,24.97
sell,sz.000539,2024-04-12,18348,,5.5,126.14
buy,sz.000709,2024-04-12,48252,2.15,2.13,25.69
buy,sz.000060,2024-04-15,21259,4.87,4.7,24.98
buy,sz.000783,2024-04-16,20249,5.17,5.1,25.82
buy,sz.000513,2024-04-17,2893,35.4,35.31,25.54
buy,sz.000539,2024-04-19,19516,5.38,5.36,26.15
sell,sz.000591,2024-04-22,20030,,4.79,119.93
sell,sz.000598,2024-04-22,17038,,6.92,147.38
sell,sz.000783,2024-04-22,20249,,5.17,130.86
buy,sz.000400,2024-04-22,3893,27.14,26.97,26.25
buy,sz.000657,2024-04-23,9559,10.83,10.39,24.83
sell,sz.000539,2024-04-30,19516,,5.32,129.78
sell,sz.000921,2024-05-07,3542,,37.39,165.54
buy,sz.000591,2024-05-07,22017,4.88,4.86,26.75
buy,sz.000887,2024-05-07,7959,13.51,13.47,26.8
sell,sz.000657,2024-05-09,9559,,12.11,144.7
sell,sz.000039,2024-05-10,11063,,9.4,129.99
buy,sz.000921,2024-05-10,2846,38.19,38.15,27.14
sell,sz.000921,2024-05-13,2846,,38.59,137.28
buy,sz.000783,2024-05-13,20480,5.34,5.32,27.24
sell,sz.000878,2024-05-14,7333,,13.84,126.86
buy,sz.000039,2024-05-14,11642,9.41,9.37,27.27
buy,sz.000598,2024-05-14,15103,7.26,7.23,27.3
sell,sz.000709,2024-05-15,48252,,2.13,128.47
sell,sz.000039,2024-05-15,11642,,9.42,137.08
buy,sz.000878,2024-05-15,7816,13.98,13.88,27.12
sell,sz.000060,2024-05-16,21259,,4.62,122.77
buy,sz.000921,2024-05-16,2837,38.16,37.92,26.89
sell,sz.000400,2024-05-17,3893,,26.31,128.03
sell,sz.000783,2024-05-17,20480,,5.31,135.94
sell,sz.000513,2024-05-20,2893,,36.87,133.33
buy,sz.000050,2024-05-20,13566,7.92,7.9,26.79
buy,sz.000709,2024-05-20,49840,2.16,2.15,26.79
sell,sz.000878,2024-05-21,7816,,14.73,143.91
buy,sz.000629,2024-05-21,34155,3.16,3.12,26.64
buy,sz.000657,2024-05-21,8845,12.2,11.84,26.18
sell,sz.000629,2024-05-22,34155,,3.08,131.5
buy,sz.000039,2024-05-22,11702,9.16,9.1,26.62
buy,sz.000738,2024-05-22,5305,20.2,20.06,26.6
sell,sz.000039,2024-05-23,11702,,8.95,130.92
buy,sz.000400,2024-05-23,4037,26.49,26.15,26.39
buy,sz.000539,2024-05-23,18618,5.74,5.64,26.25
sell,sz.000050,2024-05-24,13566,,7.59,128.71
sell,sz.000657,2024-05-24,8845,,10.89,120.4
sell,sz.000738,2024-05-27,5305,,19.32,128.12
buy,sz.000155,2024-05-27,9337,11.34,11.32,26.42
sell,sz.000155,2024-05-28,9337,,11.51,134.34
sell,sz.000539,2024-05-28,18618,,5.83,135.68
sell,sz.000591,2024-05-29,22017,,5.03,138.43
sell,sz.000400,2024-05-30,4037,,29.18,147.25
buy,sz.000657,2024-05-30,9213,11.67,11.35,26.14
buy,sz.000878,2024-05-30,7672,14.01,13.62,26.12
sell,sz.000887,2024-06-04,7959,,12.63,125.65
sell,sz.000921,2024-06-04,2837,,37.19,131.89
buy,sz.000429,2024-06-05,11176,9.53,9.46,26.43
sell,sz.000657,2024-06-07,9213,,10.33,118.96
sell,sz.000709,2024-06-07,49840,,2.0,124.6
sell,sz.000598,2024-06-12,15103,,7.27,137.25
sell,sz.000429,2024-06-18,11176,,9.6,134.11
sell,sz.000878,2024-06-18,7672,,12.6,120.83
buy,sz.000598,2024-06-18,14705,7.17,7.09,26.06
buy,sz.000887,2024-06-19,8266,12.79,12.62,26.08
