type,symbol,date,shares,limit_price,fill_price,fees
buy,sh.600166,2023-02-08,29761,3.36,3.32,24.7
buy,sh.603728,2023-02-08,2081,48.04,46.92,24.41
buy,sz.002155,2023-02-08,7136,14.01,13.58,24.23
buy,sz.002595,2023-02-08,3867,25.85,25.82,24.96
buy,sz.300339,2023-02-08,3729,26.81,25.3,23.59
sell,sz.002595,2023-02-09,3867,,25.91,125.24
buy,sh.600282,2023-02-09,34213,2.91,2.91,24.89
buy,sz.002195,2023-02-09,32356,3.08,3.07,24.83
sell,sh.600166,2023-02-10,29761,,3.34,124.25
buy,sh.600536,2023-02-10,1661,60.35,58.71,24.38
buy,sh.603486,2023-02-10,1062,94.39,93.11,24.72
buy,sz.300017,2023-02-13,16948,5.86,5.85,24.79
sell,sh.600282,2023-02-14,34213,,3.03,129.58
sell,sh.600536,2023-02-14,1661,,58.06,120.55
buy,sz.000598,2023-02-14,21109,4.75,4.74,25.01
buy,sz.300058,2023-02-14,23133,4.33,4.25,24.58
sell,sz.300058,2023-02-15,23133,,4.23,122.32
buy,sz.000539,2023-02-15,15028,6.64,6.58,24.72
buy,sz.003035,2023-02-15,11655,8.56,8.38,24.42
sell,sz.000598,2023-02-16,21109,,4.72,124.54
buy,sh.600498,2023-02-16,6146,16.32,16.15,24.81
sell,sh.603486,2023-02-17,1062,,86.43,114.74
sell,sz.002155,2023-02-17,7136,,12.8,114.18
sell,sz.300017,2023-02-17,16948,,5.82,123.3
buy,sz.002281,2023-02-17,4445,21.85,21.16,23.51
buy,sz.300570,2023-02-17,5739,16.93,16.8,24.1
sell,sz.002195,2023-02-20,32356,,2.95,119.31
sell,sz.300570,2023-02-20,5739,,16.49,118.3
buy,sh.600282,2023-02-20,29700,3.23,3.21,23.83
buy,sz.000729,2023-02-20,7476,12.81,12.81,23.94
buy,sz.002461,2023-02-20,11334,8.45,8.44,23.91
sell,sh.603728,2023-02-21,2081,,45.83,119.22
sell,sz.300339,2023-02-21,3729,,24.82,115.69
sell,sz.000539,2023-02-22,15028,,6.22,116.84
sell,sz.002461,2023-02-22,11334,,8.47,120.0
buy,sz.000932,2023-02-22,19381,5.02,5.0,24.23
buy,sz.300002,2023-02-22,16423,5.92,5.88,24.14
sell,sz.000729,2023-02-23,7476,,12.85,120.08
buy,sz.000528,2023-02-23,15238,6.4,6.37,24.27
buy,sz.002131,2023-02-23,44491,2.19,2.11,23.47
buy,sz.002261,2023-02-23,9228,10.56,9.91,22.86
sell,sz.002281,2023-02-24,4445,,21.94,121.9
sell,sz.300002,2023-02-24,16423,,5.8,119.07
buy,sh.600166,2023-02-24,26216,3.68,3.65,23.92
buy,sh.600329,2023-02-24,3123,30.89,30.72,23.98
buy,sh.600707,2023-02-24,18032,5.35,5.21,23.49
sell,sh.600498,2023-02-27,6146,,15.74,120.92
sell,sh.600329,2023-02-28,3123,,30.87,120.51
buy,sz.000921,2023-02-28,5690,17.15,16.92,24.07
buy,sz.000933,2023-02-28,6016,16.22,16.04,24.12
sell,sh.600707,2023-03-01,18032,,5.15,116.08
sell,sz.000528,2023-03-01,15238,,6.35,120.95
sell,sz.002131,2023-03-01,44491,,2.07,115.12
sell,sz.003035,2023-03-01,11655,,8.17,119.03
buy,sh.600511,2023-03-01,3267,29.85,29.75,24.3
buy,sh.600535,2023-03-01,7586,12.86,12.81,24.29
buy,sh.600985,2023-03-01,8206,11.89,11.82,24.25
buy,sz.000937,2023-03-01,19347,5.04,5.0,24.18
sell,sh.600166,2023-03-02,26216,,3.63,118.96
sell,sh.600511,2023-03-03,3267,,30.27,123.62
sell,sh.600985,2023-03-03,8206,,11.82,121.24
sell,sz.000933,2023-03-03,6016,,16.38,123.18
sell,sz.000937,2023-03-03,19347,,5.06,122.37
buy,sh.600363,2023-03-03,3164,31.21,30.99,24.51
buy,sz.000060,2023-03-03,21605,4.57,4.54,24.52
buy,sz.300570,2023-03-03,4499,21.95,21.5,24.18
buy,sz.002583,2023-03-06,15469,6.44,6.37,24.63
sell,sh.600282,2023-03-07,29700,,3.32,123.26
sell,sh.600535,2023-03-07,7586,,12.61,119.57
buy,sh.600498,2023-03-07,5748,17.3,16.86,24.23
sell,sz.000921,2023-03-09,5690,,16.48,117.21
sell,sz.002583,2023-03-09,15469,,6.3,121.82
buy,sh.600511,2023-03-09,3083,31.92,31.8,24.51
buy,sh.600602,2023-03-09,8373,11.75,11.36,23.78
buy,sh.688425,2023-03-09,20072,4.9,4.86,24.39
sell,sh.600498,2023-03-10,5748,,16.73,120.21
sell,sz.000060,2023-03-10,21605,,4.41,119.1
buy,sh.600339,2023-03-10,30243,3.25,3.18,24.04
buy,sz.000528,2023-03-10,15038,6.53,6.46,24.29
buy,sz.000959,2023-03-10,23412,4.15,4.12,24.11
sell,sh.600339,2023-03-13,30243,,3.26,123.24
sell,sh.600602,2023-03-13,8373,,11.6,121.41
sell,sz.000528,2023-03-14,15038,,6.37,119.74
buy,sh.601000,2023-03-14,36650,2.67,2.66,24.37
sell,sz.000959,2023-03-15,23412,,4.09,119.69
sell,sz.002261,2023-03-15,9228,,10.2,117.66
sell,sz.300570,2023-03-15,4499,,20.03,112.64
buy,sz.000519,2023-03-15,3834,25.33,24.87,23.84
sell,sh.600363,2023-03-16,3164,,31.87,126.05
sell,sh.601000,2023-03-16,36650,,2.76,126.44
buy,sh.600642,2023-03-16,17763,5.54,5.49,24.38
buy,sh.600737,2023-03-16,15166,6.49,6.36,24.11
buy,sh.688019,2023-03-16,952,103.4,101.39,24.13
sell,sh.600737,2023-03-17,15166,,6.42,121.71
sell,sz.000519,2023-03-20,3834,,22.54,108.02
buy,sz.002439,2023-03-20,2819,34.65,33.5,23.61
buy,sz.300058,2023-03-20,14903,6.56,6.41,23.88
sell,sh.688019,2023-03-21,952,,99.54,118.45
sell,sz.000932,2023-03-21,19381,,4.9,118.71
buy,sh.600339,2023-03-21,24737,3.88,3.81,23.56
buy,sh.600602,2023-03-21,8084,11.88,11.84,23.93
buy,sh.601598,2023-03-21,26307,3.65,3.64,23.94
buy,sz.000426,2023-03-21,12086,7.95,7.88,23.81
sell,sh.600602,2023-03-22,8084,,12.36,124.9
sell,sz.002439,2023-03-22,2819,,32.14,113.25
buy,sh.601000,2023-03-22,34814,2.75,2.75,23.93
buy,sh.601179,2023-03-22,18024,5.32,5.29,23.84
sell,sh.600642,2023-03-23,17763,,5.23,116.13
sell,sz.000426,2023-03-23,12086,,7.95,120.1
buy,sh.601921,2023-03-23,13323,7.22,7.2,23.98
buy,sz.000598,2023-03-23,19765,4.87,4.85,23.97
buy,sz.300002,2023-03-23,11209,8.04,7.77,21.77
sell,sh.600511,2023-03-24,3083,,32.25,124.28
sell,sz.000598,2023-03-24,19765,,4.86,120.07
buy,sh.600131,2023-03-24,4963,19.39,19.15,23.76
sell,sh.601000,2023-03-27,34814,,2.65,115.32
sell,sh.601179,2023-03-27,18024,,5.19,116.93
sell,sh.601598,2023-03-27,26307,,3.54,116.41
buy,sz.002131,2023-03-27,38986,2.47,2.46,23.98
buy,sz.300017,2023-03-27,14015,6.88,6.71,23.51
sell,sh.600131,2023-03-28,4963,,19.16,118.86
buy,sh.600498,2023-03-28,4791,19.94,19.64,23.52
buy,sh.688608,2023-03-28,868,110.02,103.71,22.51
buy,sz.002195,2023-03-28,27500,3.47,3.37,23.17
sell,sh.600339,2023-03-29,24737,,3.69,114.1
sell,sh.688425,2023-03-29,20072,,5.03,126.2
buy,sz.000034,2023-03-29,3122,30.29,30.17,23.55
sell,sh.688608,2023-03-30,868,,101.9,110.56
buy,sh.688220,2023-03-30,1186,78.95,77.61,23.01
buy,sz.002261,2023-03-30,5980,15.67,15.6,23.32
sell,sz.002131,2023-03-31,38986,,2.29,111.6
sell,sz.300017,2023-03-31,14015,,6.65,116.5
buy,sz.002281,2023-03-31,3655,25.16,25.14,22.97
buy,sz.301308,2023-03-31,916,100.36,99.22,22.72
sell,sh.600498,2023-04-06,4791,,20.12,120.49
sell,sh.688220,2023-04-06,1186,,81.98,121.54
sell,sz.000034,2023-04-06,3122,,29.55,115.32
sell,sz.002195,2023-04-06,27500,,3.29,113.09
buy,sz.002517,2023-04-06,7738,12.72,12.57,24.32
buy,sz.002595,2023-04-06,3431,28.67,28.42,24.38
