date,symbol
2021-12-09,sz.000783
2021-12-09,sz.000623
2021-12-09,sz.000728
2021-12-09,sz.000709
2021-12-09,sz.000429
2021-12-09,sh.601997
2021-12-09,sh.600901
2021-12-09,sh.600511
2021-12-09,sz.002423
2021-12-09,sz.002966
2021-12-09,sh.600332
2021-12-09,sz.000039
2021-12-09,sz.002926
2021-12-09,sh.600177
2021-12-09,sz.002958
2021-12-09,sz.002244
2021-12-09,sh.600208
2021-12-09,sz.000750
2021-12-09,sh.603858
2021-12-09,sh.600390
2021-12-09,sh.601577
2021-12-09,sz.000785
2021-12-09,sh.601928
2021-12-09,sh.600126
2021-12-09,sz.000703
2021-12-10,sh.600398
2021-12-10,sh.600339
2021-12-10,sh.600606
2021-12-10,sz.000563
2021-12-10,sh.600583
2021-12-10,sz.000783
2021-12-10,sz.000623
2021-12-10,sz.000728
2021-12-10,sz.000709
2021-12-10,sz.000429
2021-12-10,sh.601997
2021-12-10,sh.600901
2021-12-10,sh.600511
2021-12-10,sz.002423
2021-12-10,sz.002966
2021-12-10,sh.600332
2021-12-10,sz.000039
2021-12-10,sz.002926
2021-12-10,sh.600177
2021-12-10,sz.002958
2021-12-10,sz.002244
2021-12-10,sh.600208
2021-12-10,sz.000750
2021-12-10,sh.603858
2021-12-10,sh.600390
2021-12-10,sh.601577
2021-12-10,sz.000785
2021-12-10,sh.601928
2021-12-10,sh.600126
2021-12-10,sz.000703
2021-12-13,sz.300919
2021-12-13,sh.688676
2021-12-13,sh.600606
2021-12-13,sz.000563
2021-12-13,sh.600583
2021-12-13,sh.688819
2021-12-13,sz.000728
2021-12-13,sh.600126
2021-12-13,sz.000709
2021-12-13,sh.600062
2021-12-13,sh.601997
2021-12-13,sh.600901
2021-12-13,sh.600511
2021-12-13,sh.688578
2021-12-13,sh.601717
2021-12-13,sz.002423
2021-12-13,sz.002966
2021-12-13,sz.300718
2021-12-13,sh.603129
2021-12-13,sz.000039
2021-12-13,sz.002958
2021-12-13,sh.600688
2021-12-13,sh.600208
2021-12-13,sh.603858
2021-12-13,sh.601965
2021-12-13,sh.600390
2021-12-13,sh.601577
2021-12-13,sh.601928
2021-12-13,sh.688520
2021-12-13,sh.600873
2021-12-14,sz.300919
2021-12-14,sh.688676
2021-12-14,sh.600606
2021-12-14,sh.600583
2021-12-14,sh.600820
2021-12-14,sz.000728
2021-12-14,sz.000709
2021-12-14,sz.000429
2021-12-14,sh.600062
2021-12-14,sh.601997
2021-12-14,sh.600704
2021-12-14,sh.600901
2021-12-14,sh.688578
2021-12-14,sz.000825
2021-12-14,sz.002583
2021-12-14,sh.601717
2021-12-14,sz.002966
2021-12-14,sh.603129
2021-12-14,sz.000039
2021-12-14,sh.600177
2021-12-14,sz.002958
2021-12-14,sh.600688
2021-12-14,sh.600208
2021-12-14,sh.603858
2021-12-14,sh.600998
2021-12-14,sh.601965
2021-12-14,sh.600390
2021-12-14,sh.601577
2021-12-14,sh.600126
2021-12-14,sh.600873
2021-12-15,sh.600339
2021-12-15,sh.600606
2021-12-15,sz.000563
2021-12-15,sh.600583
2021-12-15,sh.600820
2021-12-15,sz.000709
2021-12-15,sh.601155
2021-12-15,sz.000429
2021-12-15,sh.601997
2021-12-15,sh.600704
2021-12-15,sh.600901
2021-12-15,sh.688578
2021-12-15,sz.000825
2021-12-15,sh.601717
2021-12-15,sz.002966
2021-12-15,sh.603129
2021-12-15,sz.000039
2021-12-15,sh.600177
2021-12-15,sz.002958
2021-12-15,sh.601958
2021-12-15,sh.600688
2021-12-15,sh.600208
2021-12-15,sh.603858
2021-12-15,sh.600998
2021-12-15,sh.600390
2021-12-15,sh.601577
2021-12-15,sh.600126
2021-12-15,sh.600873
2021-12-15,sh.600282
2021-12-15,sh.600528
2021-12-16,sh.600606
2021-12-16,sz.000563
2021-12-16,sh.600583
2021-12-16,sh.600820
2021-12-16,sz.000709
2021-12-16,sh.601155
2021-12-16,sz.000429
2021-12-16,sh.600062
2021-12-16,sz.000739
2021-12-16,sh.601997
2021-12-16,sh.600704
2021-12-16,sh.600901
2021-12-16,sh.688578
2021-12-16,sh.601717
2021-12-16,sz.002966
2021-12-16,sh.603129
2021-12-16,sz.000039
2021-12-16,sh.600177
2021-12-16,sz.002958
2021-12-16,sh.601958
2021-12-16,sh.600688
2021-12-16,sh.600208
2021-12-16,sh.603858
2021-12-16,sh.600998
2021-12-16,sh.600390
2021-12-16,sh.601577
2021-12-16,sh.600126
2021-12-16,sh.600873
2021-12-16,sh.600282
2021-12-16,sh.600528
2021-12-17,sh.600606
2021-12-17,sz.000563
2021-12-17,sh.600583
2021-12-17,sh.600820
2021-12-17,sz.000728
2021-12-17,sh.600126
2021-12-17,sh.601155
2021-12-17,sz.000709
2021-12-17,sz.000429
2021-12-17,sh.600062
2021-12-17,sh.601997
2021-12-17,sh.600704
2021-12-17,sh.600511
2021-12-17,sh.600901
2021-12-17,sh.601717
2021-12-17,sz.002423
2021-12-17,sz.002966
2021-12-17,sh.600332
2021-12-17,sz.000039
2021-12-17,sh.600177
2021-12-17,sz.002958
2021-12-17,sh.603858
2021-12-17,sh.600998
2021-12-17,sh.600390
2021-12-17,sh.601577
2021-12-17,sh.600352
2021-12-17,sz.000528
2021-12-17,sh.600663
2021-12-17,sh.600282
2021-12-17,sh.600528
2021-12-20,sh.600398
2021-12-20,sh.600606
2021-12-20,sz.000563
2021-12-20,sh.600583
2021-12-20,sh.600820
2021-12-20,sz.000728
2021-12-20,sh.600126
2021-12-20,sh.601155
2021-12-20,sz.000709
2021-12-20,sz.000429
2021-12-20,sh.601997
2021-12-20,sh.600704
2021-12-20,sh.600511
2021-12-20,sh.600901
2021-12-20,sh.601717
2021-12-20,sz.002423
2021-12-20,sz.002966
2021-12-20,sh.600332
2021-12-20,sh.600177
2021-12-20,sz.002958
2021-12-20,sh.601128
2021-12-20,sh.600816
2021-12-20,sh.603858
2021-12-20,sh.600998
2021-12-20,sh.600390
2021-12-20,sh.601577
2021-12-20,sh.600352
2021-12-20,sz.000528
2021-12-20,sh.600663
2021-12-20,sh.600528
2021-12-21,sh.600398
2021-12-21,sh.600606
2021-12-21,sz.000563
2021-12-21,sz.000728
2021-12-21,sz.000429
2021-12-21,sh.600062
2021-12-21,sh.601997
2021-12-21,sh.600704
2021-12-21,sh.600511
2021-12-21,sh.600901
2021-12-21,sh.601717
2021-12-21,sz.002423
2021-12-21,sz.002966
2021-12-21,sh.603129
2021-12-21,sz.002926
2021-12-21,sh.600177
2021-12-21,sz.002958
2021-12-21,sh.601128
2021-12-21,sh.600816
2021-12-21,sh.600737
2021-12-21,sh.600998
2021-12-21,sh.603858
2021-12-21,sh.600390
2021-12-21,sz.002157
2021-12-21,sh.601577
2021-12-21,sh.600352
2021-12-21,sz.300390
2021-12-21,sz.000528
2021-12-21,sh.600126
2021-12-21,sz.000703
2021-12-22,sh.600398
2021-12-22,sz.000563
2021-12-22,sz.000728
2021-12-22,sz.002607
2021-12-22,sh.600096
2021-12-22,sz.000429
2021-12-22,sh.600062
2021-12-22,sh.601997
2021-12-22,sh.600704
2021-12-22,sh.600511
2021-12-22,sh.600901
2021-12-22,sz.002423
2021-12-22,sz.002966
2021-12-22,sz.002926
2021-12-22,sh.600177
2021-12-22,sz.002958
2021-12-22,sz.002461
2021-12-22,sh.601128
2021-12-22,sh.600816
2021-12-22,sh.600737
2021-12-22,sh.600998
2021-12-22,sh.603858
2021-12-22,sh.600390
2021-12-22,sz.002157
2021-12-22,sh.601577
2021-12-22,sh.600352
2021-12-22,sz.300390
2021-12-22,sz.000528
2021-12-22,sh.600126
2021-12-22,sz.000703
2021-12-23,sh.600398
2021-12-23,sh.688266
2021-12-23,sz.000728
2021-12-23,sz.002607
2021-12-23,sz.002064
2021-12-23,sh.600096
2021-12-23,sz.000429
2021-12-23,sh.600062
2021-12-23,sh.601997
2021-12-23,sh.600704
2021-12-23,sh.600511
2021-12-23,sh.600901
2021-12-23,sz.002423
2021-12-23,sz.002966
2021-12-23,sh.600177
2021-12-23,sz.300763
2021-12-23,sz.002958
2021-12-23,sz.002461
2021-12-23,sh.600707
2021-12-23,sh.601128
2021-12-23,sz.000009
2021-12-23,sh.600816
2021-12-23,sh.600998
2021-12-23,sh.600390
2021-12-23,sh.601577
2021-12-23,sh.600352
2021-12-23,sz.300390
2021-12-23,sz.000528
2021-12-23,sh.600126
2021-12-23,sz.000703
2021-12-24,sh.600398
2021-12-24,sz.002202
2021-12-24,sh.688266
2021-12-24,sz.000728
2021-12-24,sz.002607
2021-12-24,sz.002064
2021-12-24,sz.300001
2021-12-24,sh.600096
2021-12-24,sz.000429
2021-12-24,sz.000959
2021-12-24,sh.601997
2021-12-24,sh.600704
2021-12-24,sh.600511
2021-12-24,sh.600901
2021-12-24,sz.002423
2021-12-24,sz.002966
2021-12-24,sh.600177
2021-12-24,sz.300763
2021-12-24,sz.002958
2021-12-24,sh.600707
2021-12-24,sh.601128
2021-12-24,sz.000009
2021-12-24,sh.600295
2021-12-24,sh.600998
2021-12-24,sh.600390
2021-12-24,sh.601577
2021-12-24,sh.600352
2021-12-24,sz.300390
2021-12-24,sh.600126
2021-12-24,sz.000703
2021-12-27,sh.600398
2021-12-27,sz.002202
2021-12-27,sz.000728
2021-12-27,sz.002607
2021-12-27,sz.002064
2021-12-27,sz.300001
2021-12-27,sh.600096
2021-12-27,sz.000429
2021-12-27,sh.603806
2021-12-27,sz.000959
2021-12-27,sh.601997
2021-12-27,sh.600704
2021-12-27,sh.600511
2021-12-27,sh.600901
2021-12-27,sz.002423
2021-12-27,sz.002966
2021-12-27,sh.600177
2021-12-27,sz.300763
2021-12-27,sz.002958
2021-12-27,sh.600707
2021-12-27,sh.601128
2021-12-27,sz.000009
2021-12-27,sh.600295
2021-12-27,sh.688037
2021-12-27,sh.600390
2021-12-27,sh.601577
2021-12-27,sh.600352
2021-12-27,sz.300390
2021-12-27,sh.600126
2021-12-27,sz.000703
2021-12-28,sh.600398
2021-12-28,sz.300724
2021-12-28,sz.000728
2021-12-28,sz.002607
2021-12-28,sz.002064
2021-12-28,sz.300001
2021-12-28,sh.600096
2021-12-28,sz.000429
2021-12-28,sz.000959
